Feature,importance_coefficient
1stFlrSF_count,0.5090362
KitchenQual_Fa_sum,0.11888516
OverallCond_6_mean,0.08022185
1stFlrSF_max,0.07847894
KitchenQual_Fa_mean,0.072175175
OverallQual_10_mean,0.038137123
GrLivArea_max,0.028238822
KitchenQual_Gd_sum,0.02380034
1stFlrSF_min,0.014141049
OverallCond_4_mean,0.008830731
KitchenQual_Ex_sum,0.0067181485
TotalBsmtSF_count,0.005683465
SalePrice,0.0037217706
KitchenQual_Gd_mean,0.0025207584
GrLivArea_count,0.0021438953
GarageArea_max,0.0017433743
GrLivArea_min,0.001379992
TotalBsmtSF_max,0.0011496647
OverallQual_10_sum,0.00059184677
KitchenQual_TA_sum,0.0002927566
GarageArea_count,0.0002632127
GarageArea_min,0.0002520035
KitchenQual_Ex_mean,0.00025026055
1stFlrSF_mean,0.00012500744
TotalBsmtSF_min,0.00010929385
OverallQual_6_sum,6.7572466e-05
OverallQual_4_sum,6.531007e-05
GrLivArea_mean,5.9808175e-05
OverallQual_7_sum,5.6288332e-05
OverallQual_5_mean,5.0141163e-05
OverallCond_4_sum,4.9690858e-05
OverallQual_8_mean,4.7108053e-05
TotalBsmtSF_mean,4.682022e-05
OverallCond_9_sum,4.5584966e-05
GarageArea_mean,4.5028333e-05
OverallQual_7_mean,4.4076976e-05
OverallCond_3_sum,3.9963856e-05
NumYearsSinceBuilt,3.7802944e-05
OverallCond_6_sum,3.6277313e-05
OverallCond_2_mean,3.624427e-05
GrLivArea_sum,3.4484434e-05
OverallCond_7_sum,3.4461063e-05
OverallQual_6_mean,3.1914667e-05
OverallQual_3_mean,2.9917739e-05
OverallCond_5_sum,2.9290422e-05
OverallQual_8_sum,2.8452383e-05
OverallQual_9_sum,2.8292268e-05
OverallCond_3_mean,2.804254e-05
OverallCond_8_sum,2.4036644e-05
OverallQual_9_mean,2.1176267e-05
OverallCond_7_mean,1.8164172e-05
OverallCond_8_mean,1.7043232e-05
OverallCond_2_sum,1.5542257e-05
OverallCond_5_mean,1.4329586e-05
OverallCond_1_mean,1.2747876e-05
OverallQual_4_mean,9.138771e-06
OverallQual_2_mean,3.471828e-06
OverallQual_5_sum,8.801556e-07
OverallQual_3_sum,0.0
KitchenQual_TA_mean,0.0
OverallCond_1_sum,0.0
1stFlrSF_sum,0.0
GarageArea_sum,0.0
OverallQual_1_mean,0.0
TotalBsmtSF_sum,0.0
OverallQual_1_sum,0.0
OverallCond_9_mean,0.0
OverallQual_2_sum,0.0
